"job_id","model","N","N_size","mni_location","mni_size","rho","loading_quality","target_loading","TT","J","mu_alpha","mu_beta","var_alpha","var_beta","cov_ab","tau_un","lambda_un","sd.lambda","nrep","seed"
123,"latent","large",800,"residual","weak",0.15,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
124,"latent","small",200,"residual","weak",0.15,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
125,"latent","medium",500,"residual","weak",0.15,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
126,"latent","large",800,"residual","weak",0.15,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
127,"mean","small",200,"intercept","strong",0,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
128,"mean","medium",500,"intercept","strong",0,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
129,"mean","large",800,"intercept","strong",0,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
130,"mean","small",200,"intercept","strong",0,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
131,"mean","medium",500,"intercept","strong",0,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
132,"mean","large",800,"intercept","strong",0,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
133,"mean","small",200,"intercept","strong",0,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
134,"mean","medium",500,"intercept","strong",0,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
135,"mean","large",800,"intercept","strong",0,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
136,"mean","small",200,"intercept","strong",0.15,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
137,"mean","medium",500,"intercept","strong",0.15,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
138,"mean","large",800,"intercept","strong",0.15,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
139,"mean","small",200,"intercept","strong",0.15,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
140,"mean","medium",500,"intercept","strong",0.15,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
141,"mean","large",800,"intercept","strong",0.15,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
142,"mean","small",200,"intercept","strong",0.15,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
143,"mean","medium",500,"intercept","strong",0.15,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
144,"mean","large",800,"intercept","strong",0.15,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
145,"mean","small",200,"intercept","weak",0,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
146,"mean","medium",500,"intercept","weak",0,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
147,"mean","large",800,"intercept","weak",0,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
148,"mean","small",200,"intercept","weak",0,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
149,"mean","medium",500,"intercept","weak",0,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
150,"mean","large",800,"intercept","weak",0,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
151,"mean","small",200,"intercept","weak",0,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
152,"mean","medium",500,"intercept","weak",0,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
153,"mean","large",800,"intercept","weak",0,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
154,"mean","small",200,"intercept","weak",0.15,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
155,"mean","medium",500,"intercept","weak",0.15,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
156,"mean","large",800,"intercept","weak",0.15,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
157,"mean","small",200,"intercept","weak",0.15,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
158,"mean","medium",500,"intercept","weak",0.15,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
159,"mean","large",800,"intercept","weak",0.15,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
160,"mean","small",200,"intercept","weak",0.15,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
161,"mean","medium",500,"intercept","weak",0.15,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
162,"mean","large",800,"intercept","weak",0.15,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
163,"mean","small",200,"loading","strong",0,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
164,"mean","medium",500,"loading","strong",0,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
165,"mean","large",800,"loading","strong",0,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
166,"mean","small",200,"loading","strong",0,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
167,"mean","medium",500,"loading","strong",0,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
168,"mean","large",800,"loading","strong",0,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
